image_name,camera_id,vehicle_id
027701.jpg,c017,0350
034672.jpg,c017,0350
026994.jpg,c017,0350
002883.jpg,c017,0350
015925.jpg,c017,0350
005875.jpg,c017,0350
028807.jpg,c017,0350
017202.jpg,c017,0350
040426.jpg,c017,0350
047115.jpg,c017,0350
017354.jpg,c017,0350
009701.jpg,c017,0350
042431.jpg,c017,0350
052298.jpg,c017,0350
047651.jpg,c017,0350
025052.jpg,c016,0350
007361.jpg,c016,0350
016422.jpg,c016,0350
018862.jpg,c016,0350
035143.jpg,c016,0350
049211.jpg,c016,0350
044674.jpg,c016,0350
001115.jpg,c016,0350
020406.jpg,c016,0350
035081.jpg,c016,0350
043278.jpg,c016,0350
043584.jpg,c016,0350
035416.jpg,c016,0350
032474.jpg,c016,0350
007815.jpg,c016,0350
034265.jpg,c016,0350
013994.jpg,c016,0350
004946.jpg,c016,0350
036961.jpg,c016,0350
034805.jpg,c016,0350
006680.jpg,c016,0350
003078.jpg,c016,0350
003167.jpg,c016,0350
049149.jpg,c016,0350
047833.jpg,c016,0350
020421.jpg,c016,0350
030481.jpg,c016,0350
022317.jpg,c016,0350
007767.jpg,c016,0350
037781.jpg,c016,0350
036370.jpg,c016,0350
040773.jpg,c016,0350
036747.jpg,c016,0350
051220.jpg,c016,0350
051245.jpg,c016,0350
034055.jpg,c016,0350
031996.jpg,c016,0350
045559.jpg,c016,0350
026721.jpg,c016,0350
016270.jpg,c016,0350
008581.jpg,c016,0350
037041.jpg,c016,0350
033725.jpg,c016,0350
047508.jpg,c016,0350
028700.jpg,c016,0350
049371.jpg,c016,0350
036874.jpg,c016,0350
012732.jpg,c016,0350
007119.jpg,c016,0350
022318.jpg,c016,0350
031661.jpg,c016,0350
022682.jpg,c016,0350
031755.jpg,c016,0350
034636.jpg,c016,0350
013242.jpg,c016,0350
014889.jpg,c016,0350
014082.jpg,c016,0350
022703.jpg,c010,0350
049692.jpg,c010,0350
008300.jpg,c010,0350
036023.jpg,c010,0350
016406.jpg,c010,0350
045702.jpg,c010,0350
017673.jpg,c010,0350
004371.jpg,c010,0350
049258.jpg,c010,0350
034120.jpg,c010,0350
047549.jpg,c010,0350
026027.jpg,c010,0350
029463.jpg,c010,0350
052054.jpg,c010,0350
052277.jpg,c010,0350
002248.jpg,c010,0350
012512.jpg,c010,0350
035593.jpg,c010,0350
019909.jpg,c010,0350
028615.jpg,c010,0350
